Date,Close,High,Low,Open,Volume
1989-12-20,16.1072,16.2779,16.1072,16.221,0
1989-12-21,16.1072,16.2779,16.1072,16.1072,605
1989-12-22,16.0502,16.221,16.0502,16.1072,121
1989-12-26,16.4487,16.6194,16.4487,16.4487,1210
1989-12-27,16.5056,16.6763,16.5056,16.5056,3025
1989-12-28,16.221,16.3917,16.221,16.3917,4719
1989-12-29,16.0502,16.3348,16.0502,16.221,605
1990-01-02,15.9364,16.1072,15.9364,16.0502,12947
1990-01-03,15.9933,16.1072,15.9933,15.9933,25047
1990-01-04,16.221,16.4487,16.221,16.221,5808
1990-01-05,15.9933,16.1641,15.9933,16.1641,9075
1990-01-08,16.0502,16.221,16.0502,16.0502,363
1990-01-09,15.9364,16.0502,15.9364,16.0502,4719
1990-01-10,15.9364,16.0502,15.9364,15.9364,24442
1990-01-11,15.9933,16.1641,15.9933,15.9933,4235
1990-01-12,15.7657,15.8795,15.7657,15.8795,11858
1990-01-15,15.7657,15.8226,15.7657,15.7657,16940
1990-01-16,15.7088,15.8795,15.7088,15.7657,17061
1990-01-17,15.7088,15.8226,15.7088,15.7088,37994
1990-01-18,15.3673,15.538,15.3673,15.538,13068
1990-01-19,15.3103,15.4811,15.3103,15.3673,1089
1990-01-22,15.3673,15.4811,15.3673,15.3673,19844
1990-01-23,15.538,15.6518,15.538,15.538,6292
1990-01-24,15.1965,15.3103,15.1965,15.3103,28072
1990-01-25,15.538,15.6518,15.538,15.538,24805
1990-01-26,15.6518,15.7087,15.6518,15.6518,2783
1990-01-29,15.6518,15.6518,15.6518,15.6518,0
1990-01-30,15.4242,15.5949,15.4242,15.5949,10164
1990-01-31,15.7657,15.9364,15.7657,15.7657,35937
1990-02-01,15.6518,15.7657,15.6518,15.7657,4235
1990-02-02,15.5949,15.7657,15.5949,15.6518,7381
1990-02-05,15.4811,15.6518,15.4811,15.5949,3751
1990-02-06,15.4811,15.4811,15.4811,15.4811,0
1990-02-07,15.3673,15.4811,15.3673,15.4811,19723
1990-02-08,15.4811,15.5949,15.4811,15.4811,9801
1990-02-09,15.3103,15.538,15.3103,15.4811,242
1990-02-12,15.3673,15.538,15.3673,15.3673,1573
1990-02-13,15.3673,15.3673,15.3673,15.3673,0
1990-02-14,15.538,15.5949,15.538,15.538,19481
1990-02-15,15.7657,15.8226,15.7657,15.7657,363
1990-02-16,15.7657,15.8226,15.7657,15.7657,6534
1990-02-20,15.2534,15.3673,15.2534,15.3673,17666
1990-02-21,14.7981,14.9688,14.7981,14.9688,17787
1990-02-22,14.6843,14.7981,14.6843,14.7981,13431
1990-02-23,14.172,14.2289,14.172,14.2289,9559
1990-02-26,13.8874,14.0013,13.8874,14.0013,13431
1990-02-27,13.9444,14.0582,13.9444,13.9444,13794
1990-02-28,14.172,14.2289,14.172,14.172,64009
1990-03-01,14.172,14.2289,14.172,14.172,17061
1990-03-02,14.1151,14.2289,14.1151,14.172,30976
1990-03-05,14.0582,14.2289,14.0582,14.1151,847
1990-03-06,14.0013,14.1151,14.0013,14.0582,6050
1990-03-07,13.5459,13.6598,13.5459,13.6598,3872
1990-03-08,14.1151,14.172,14.1151,14.1151,109989
1990-03-09,13.8874,14.0582,13.8874,14.0582,21296
1990-03-12,13.7167,13.9444,13.7167,13.8874,847
1990-03-13,13.5459,13.6598,13.5459,13.6598,9075
1990-03-14,13.3752,13.489,13.3752,13.489,0
1990-03-15,13.3183,13.546,13.3183,13.3752,7381
1990-03-16,13.0337,13.2614,13.0337,13.2614,1331
1990-03-19,12.2369,12.4646,12.2369,12.4646,8107
1990-03-20,11.9523,12.18,11.9523,12.18,15488
1990-03-21,12.0661,12.2369,12.0661,12.0661,19602
1990-03-22,12.0092,12.2369,12.0092,12.0661,27225
1990-03-23,12.7491,12.9768,12.7491,12.7491,28798
1990-03-26,13.489,13.6029,13.489,13.489,15609
1990-03-27,13.3183,13.489,13.3183,13.489,3630
1990-03-28,13.2045,13.4321,13.2045,13.3183,27588
1990-03-29,13.2045,13.4321,13.2045,13.2045,3146
1990-03-30,12.7491,12.9199,12.7491,12.9199,7381
1990-04-02,12.5784,12.7491,12.5784,12.7491,33759
1990-04-03,13.3183,13.546,13.3183,13.3183,39567
1990-04-04,12.7491,12.9768,12.7491,12.9768,6413
1990-04-05,13.9444,14.0582,13.9444,13.9444,13068
1990-04-06,13.8874,14.0582,13.8874,13.9444,16214
1990-04-09,14.4566,14.5704,14.4566,14.4566,44044
1990-04-10,14.2289,14.3997,14.2289,14.3997,18513
1990-04-11,14.0582,14.2289,14.0582,14.2289,1936
1990-04-12,13.9444,14.1151,13.9444,14.0582,11253
1990-04-16,13.2045,13.3752,13.2045,13.3752,3267
1990-04-17,13.2614,13.489,13.2614,13.2614,1331
1990-04-18,13.5459,13.7167,13.5459,13.5459,1694
1990-04-19,13.6598,13.8305,13.6598,13.6598,5808
1990-04-20,13.4321,13.6598,13.4321,13.6598,1210
1990-04-23,13.3752,13.546,13.3752,13.4321,847
1990-04-24,13.3183,13.489,13.3183,13.3752,2420
1990-04-25,13.1475,13.3183,13.1475,13.3183,4356
1990-04-26,13.2045,13.3752,13.2045,13.2045,121
1990-04-27,13.2045,13.4321,13.2045,13.2045,605
1990-04-30,13.2045,13.4321,13.2045,13.2045,484
1990-05-01,13.3752,13.489,13.3752,13.3752,847
1990-05-02,13.7167,13.9444,13.7167,13.7167,847
1990-05-03,13.7736,14.0013,13.7736,13.7736,3025
1990-05-04,13.7736,14.0013,13.7736,13.7736,1089
1990-05-07,13.8874,14.1151,13.8874,13.8874,15125
1990-05-08,13.9444,14.0582,13.9444,13.9444,12826
1990-05-09,13.8874,14.0582,13.8874,13.9444,13310
1990-05-10,13.8874,14.0582,13.8874,13.8874,2420
1990-05-11,14.6274,14.7412,14.6274,14.6274,12947
1990-05-14,14.5135,14.6274,14.5135,14.6274,9196
1990-05-15,14.5704,14.6843,14.5704,14.5704,605
1990-05-16,14.5135,14.6843,14.5135,14.5704,1936
1990-05-17,14.5135,14.6843,14.5135,14.5135,726
1990-05-18,14.2859,14.4566,14.2859,14.4566,3872
1990-05-21,14.3428,14.4566,14.3428,14.3428,2904
1990-05-22,14.5135,14.6843,14.5135,14.5135,3025
1990-05-23,14.6843,14.7981,14.6843,14.6843,121
1990-05-24,14.5704,14.7412,14.5704,14.6843,2178
1990-05-25,14.7981,14.9688,14.7981,14.7981,484
1990-05-29,14.7412,14.9688,14.7412,14.7981,726
1990-05-30,14.9119,15.1396,14.9119,14.9119,1089
1990-05-31,15.1396,15.2534,15.1396,15.1396,4961
1990-06-01,15.1965,15.3103,15.1965,15.1965,605
1990-06-04,15.0258,15.1965,15.0258,15.1965,847
1990-06-05,15.0258,15.2534,15.0258,15.0258,847
1990-06-06,15.4811,15.5949,15.4811,15.4811,4114
1990-06-07,15.4811,15.5949,15.4811,15.4811,6534
1990-06-08,15.0827,15.3103,15.0827,15.3103,363
1990-06-11,14.6843,14.7412,14.6843,14.7412,18755
1990-06-12,14.6843,14.855,14.6843,14.6843,242
1990-06-13,14.9119,15.0258,14.9119,14.9119,18513
1990-06-14,15.1965,15.3103,15.1965,15.1965,3388
1990-06-15,15.0258,15.2534,15.0258,15.1965,1452
1990-06-18,15.0258,15.1965,15.0258,15.0258,726
1990-06-19,14.7981,14.9119,14.7981,14.9119,242
1990-06-20,15.2534,15.4242,15.2534,15.2534,2178
1990-06-21,15.0258,15.1396,15.0258,15.1396,1573
1990-06-22,13.5459,13.7736,13.5459,13.7736,1936
1990-06-25,13.0906,13.2614,13.0906,13.2614,3751
1990-06-26,14.6501,14.7753,14.6501,14.6501,13970
1990-06-27,15.2136,15.3388,15.2136,15.2136,1210
1990-06-28,15.2136,15.3388,15.2136,15.2136,1100
1990-06-29,15.151,15.2762,15.151,15.2136,110
1990-07-02,15.151,15.2762,15.151,15.151,990
1990-07-03,15.2136,15.2762,15.2136,15.2136,2860
1990-07-05,15.2136,15.3388,15.2136,15.2136,3410
1990-07-06,15.151,15.2762,15.151,15.2136,6820
1990-07-10,15.151,15.2762,15.151,15.151,2310
1990-07-11,15.2762,15.464,15.2762,15.2762,1870
1990-07-12,15.4014,15.5892,15.4014,15.4014,19360
1990-07-13,15.4014,15.5266,15.4014,15.4014,440
1990-07-16,15.7144,15.8397,15.7144,15.7144,2310
1990-07-17,15.5266,15.7144,15.5266,15.7144,6490
1990-07-18,15.5266,15.6518,15.5266,15.5266,110
1990-07-19,15.5266,15.5892,15.5266,15.5266,13530
1990-07-20,15.2762,15.464,15.2762,15.464,2200
1990-07-23,15.0258,15.2136,15.0258,15.2136,8360
1990-07-24,14.9005,15.0258,14.9005,15.0258,12100
1990-07-25,14.9632,15.2136,14.9632,14.9632,24530
1990-07-26,14.7127,14.8379,14.7127,14.8379,2750
1990-07-27,14.5875,14.8379,14.5875,14.7127,3080
1990-07-30,14.6501,14.8379,14.6501,14.6501,4730
1990-07-31,15.0258,15.2136,15.0258,15.0258,18480
1990-08-01,14.7753,14.9632,14.7753,14.9632,1100
1990-08-02,13.9614,14.024,13.9614,14.024,39600
1990-08-03,13.398,13.5858,13.398,13.5858,21450
1990-08-06,12.7093,12.9597,12.7093,12.9597,2860
1990-08-07,13.1475,13.3354,13.1475,13.1475,32230
1990-08-08,13.3354,13.4606,13.3354,13.3354,33770
1990-08-09,13.3354,13.5232,13.3354,13.3354,3630
1990-08-10,13.1475,13.3354,13.1475,13.3354,3960
1990-08-13,12.7093,12.8971,12.7093,12.8971,8800
1990-08-14,12.8345,13.0849,12.8345,12.8345,4400
1990-08-15,13.5232,13.6484,13.5232,13.5232,6930
1990-08-16,13.1475,13.398,13.1475,13.398,24310
1990-08-17,12.9597,13.1475,12.9597,13.1475,1210
1990-08-20,13.2728,13.398,13.2728,13.2728,5830
1990-08-21,12.9597,13.2102,12.9597,13.2102,1210
1990-08-22,13.0849,13.2101,13.0849,13.0849,5720
1990-08-23,12.7719,13.0223,12.7719,13.0223,14850
1990-08-24,13.5232,13.711,13.5232,13.5232,2420
